Sales Document Number,Sales Document Item,Customer PO number,Sold To number,Ship-To Party,Sales Document Created Date,Entry time,Actual GI Date,is_first_time_cust_material_order,Material Number,Material Description,is_rare_material,Sales Order item qty,hist_mean,hist_std,p05,p95,qty_deviation_from_mean,qty_z_score,is_qty_outside_typical_range,Sales unit,historical_common_uom,is_unusual_uom,is_suspected_duplicate_order,qty_trend_slope_lastN,current_month_total_qty,month_rolling_mean,month_rolling_std,month_rolling_z,order_share_of_month,is_order_qty_high_z,ship_to_percentage_for_sold_to,is_unusual_ship_to_for_sold_to,Unit Price,price_p05,price_p95,is_unusual_unit_price,price_z_vs_customer,Order item value,expected_order_item_value,is_value_mismatch_price_qty,fulfillment_duration_days,fulfillment_p05,fulfillment_p95,is_unusual_fulfillment_time,anomaly_explanation,anomaly_score,predicted_anomaly,extended_analysis,ai_anomaly_result,model_used,shap_explanation,Blocked by Business Rules,Business Rules
Sales_80DC1A,30,Customer_5B988F,Sold_A4CD8E,Ship-to_A4CD8E,6/13/25,14:15:35,6/16/25,FALSE,Material_486F57,Material_97D0AD,FALSE,76188,28597.33333,9853.230394,20679.4,45858.4,47590.66667,4.829955737,TRUE,PAC,PAC,FALSE,FALSE,39188.8,258608,220668,11611.66448,3.267404089,0.294608055,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,43632867.6,43632867.6,FALSE,3,0,0.95,TRUE,Qty (actual: 76188) outside typical range [20679.40-45858.40]; Month rolling z-score: 3.27; Unusual fulfillment time: 3 days (expected range [0-1 days]),-0.30053792,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 76188.000 (decreases anomaly score by 0.091); current_month_total_qty: 258608.000 (decreases anomaly score by 0.065); qty_trend_slope_lastN: 39188.800 (decreases anomaly score by 0.054); qty_deviation_from_mean: 47590.667 (decreases anomaly score by 0.047); is_qty_outside_typical_range: 1.000 (decreases anomaly score by 0.046); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.042); is_unusual_fulfillment_time: 1.000 (decreases anomaly score by 0.036); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.030); qty_z_score: 4.830 (decreases anomaly score by 0.017); month_rolling_z: 3.267 (decreases anomaly score by 0.005); order_share_of_month: 0.295 (increases anomaly score by 0.001); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 76188 > upper 29623.44 (diff 46564.56); 13-week CM weekly threshold exceeded: qty 76188 > upper 56399.54 (diff 19788.46)
Sales_47B9FA,370,Customer_627CEC,Sold_A4DD7B,Ship-to_A4DD7B,8/25/25,10:30:03,8/26/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,85848,10081.46429,20037.86113,336,44025.8,85176,170.98575,FALSE,PAC,PAC,FALSE,FALSE,69843.2,272817,2366,1283.350303,210.7382524,0.314672473,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,49165149.6,49165149.6,FALSE,1,0,2.95,FALSE,Month rolling z-score: 210.74,-0.298896184,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 85848.000 (decreases anomaly score by 0.100); current_month_total_qty: 272817.000 (decreases anomaly score by 0.077); qty_z_score: 170.986 (decreases anomaly score by 0.055); qty_trend_slope_lastN: 69843.200 (decreases anomaly score by 0.054); qty_deviation_from_mean: 85176.000 (decreases anomaly score by 0.051); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.043); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.042); month_rolling_z: 210.738 (decreases anomaly score by 0.011); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); order_share_of_month: 0.315 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 85848 > upper 8780.51 (diff 77067.49); 13-week CM weekly threshold exceeded: qty 85848 > upper 12370.85 (diff 73477.15); 13-week material weekly threshold exceeded: qty 85848 > upper 31690.24 (diff 54157.76)
Sales_4F2A41,330,Customer_116869,Sold_A4DD7B,Ship-to_A4DD7B,8/28/25,10:15:12,8/28/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,44212,10081.46429,20037.86113,336,44025.8,43540,87.40395833,FALSE,PAC,PAC,FALSE,FALSE,60390.4,272817,2366,1283.350303,210.7382524,0.16205735,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,25320212.4,25320212.4,FALSE,0,0,2.95,FALSE,Month rolling z-score: 210.74,-0.284707033,1,TRUE,TRUE,global (new customer),Top contributors: current_month_total_qty: 272817.000 (decreases anomaly score by 0.080); Sales Order item qty: 44212.000 (decreases anomaly score by 0.079); qty_trend_slope_lastN: 60390.400 (decreases anomaly score by 0.056); qty_z_score: 87.404 (decreases anomaly score by 0.056); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.050); qty_deviation_from_mean: 43540.000 (decreases anomaly score by 0.048); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.042); month_rolling_z: 210.738 (decreases anomaly score by 0.012); order_share_of_month: 0.162 (increases anomaly score by 0.003); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 44212 > upper 13288.52 (diff 30923.48); 13-week CM weekly threshold exceeded: qty 44212 > upper 12370.85 (diff 31841.15); 13-week material weekly threshold exceeded: qty 44212 > upper 31690.24 (diff 12521.76)
Sales_E5BF2A,300,Customer_95BECB,Sold_A4DD7B,Ship-to_A4DD7B,8/14/25,10:15:02,8/14/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,43680,10081.46429,20037.86113,336,44025.8,43008,86.336,FALSE,PAC,PAC,FALSE,FALSE,41344.4,272817,2366,1283.350303,210.7382524,0.160107325,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,25015536,25015536,FALSE,0,0,2.95,FALSE,Month rolling z-score: 210.74,-0.284615174,1,TRUE,TRUE,global (new customer),Top contributors: current_month_total_qty: 272817.000 (decreases anomaly score by 0.079); Sales Order item qty: 43680.000 (decreases anomaly score by 0.079); qty_z_score: 86.336 (decreases anomaly score by 0.056); qty_trend_slope_lastN: 41344.400 (decreases anomaly score by 0.055); qty_deviation_from_mean: 43008.000 (decreases anomaly score by 0.051); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.050); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.044); month_rolling_z: 210.738 (decreases anomaly score by 0.012); order_share_of_month: 0.160 (increases anomaly score by 0.003); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 43680 > upper 2075.62 (diff 41604.38); 13-week CM weekly threshold exceeded: qty 43680 > upper 2462.73 (diff 41217.27); 13-week material weekly threshold exceeded: qty 43680 > upper 7319.65 (diff 36360.35)
Sales_A8E9C2,40,Customer_DD4263,Sold_7CB301,Ship-to_7CB301,8/18/25,13:30:50,8/20/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,61152,7597.333333,17778.06268,280,58240,60312,53.81011111,FALSE,PAC,PAC,FALSE,FALSE,48652.8,146916,2525.6,2328.711369,62.00442095,0.41623785,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,35021750.4,35021750.4,FALSE,2,2,5,FALSE,Month rolling z-score: 62.00,-0.284609606,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 61152.000 (decreases anomaly score by 0.097); qty_z_score: 53.810 (decreases anomaly score by 0.056); current_month_total_qty: 146916.000 (decreases anomaly score by 0.056); qty_trend_slope_lastN: 48652.800 (decreases anomaly score by 0.055); qty_deviation_from_mean: 60312.000 (decreases anomaly score by 0.053); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.047); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.045); month_rolling_z: 62.004 (decreases anomaly score by 0.011); order_share_of_month: 0.416 (decreases anomaly score by 0.004); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 61152 > upper 1654.80 (diff 59497.20); 13-week CM weekly threshold exceeded: qty 61152 > upper 1459.45 (diff 59692.55); 13-week material weekly threshold exceeded: qty 61152 > upper 16771.70 (diff 44380.30)
Sales_D08603,30,Customer_05F64A,Sold_7CB301,Ship-to_7CB301,8/25/25,13:45:21,8/27/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,58240,7597.333333,17778.06268,280,58240,57400,51.21203704,FALSE,PAC,PAC,FALSE,FALSE,69036.8,146916,2525.6,2328.711369,62.00442095,0.396417,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,33354048,33354048,FALSE,2,2,5,FALSE,Month rolling z-score: 62.00,-0.28265599,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 58240.000 (decreases anomaly score by 0.099); qty_z_score: 51.212 (decreases anomaly score by 0.057); qty_trend_slope_lastN: 69036.800 (decreases anomaly score by 0.055); current_month_total_qty: 146916.000 (decreases anomaly score by 0.055); qty_deviation_from_mean: 57400.000 (decreases anomaly score by 0.052); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.046); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.046); month_rolling_z: 62.004 (decreases anomaly score by 0.011); order_share_of_month: 0.396 (decreases anomaly score by 0.003); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 58240 > upper 7728.00 (diff 50512.00); 13-week CM weekly threshold exceeded: qty 58240 > upper 6598.31 (diff 51641.69); 13-week material weekly threshold exceeded: qty 58240 > upper 31690.24 (diff 26549.76)
Sales_521415,20,Customer_DF77B0,Sold_E4960B,Ship-to_E4960B,5/9/25,14:02:07,5/12/25,FALSE,Material_48A9F6,Material_289912,FALSE,53568,6586.909091,9523.354518,1209.6,18064.8,46981.09091,4.933250235,TRUE,PAC,PAC,FALSE,FALSE,37800,69480,,,,0.770984456,TRUE,1,FALSE,1665,1665,1706.63,FALSE,0,89190720,89190720,FALSE,3,0,3,FALSE,Qty (actual: 53568) outside typical range [1209.60-18064.80],-0.278579562,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 53568.000 (decreases anomaly score by 0.094); qty_trend_slope_lastN: 37800.000 (decreases anomaly score by 0.057); qty_deviation_from_mean: 46981.091 (decreases anomaly score by 0.053); is_qty_outside_typical_range: 1.000 (decreases anomaly score by 0.049); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.047); current_month_total_qty: 69480.000 (decreases anomaly score by 0.038); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.033); order_share_of_month: 0.771 (decreases anomaly score by 0.028); qty_z_score: 4.933 (decreases anomaly score by 0.023); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); month_rolling_z: 0.000 (decreases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 53568 > upper 6250.20 (diff 47317.80); 13-week CM weekly threshold exceeded: qty 53568 > upper 18750.60 (diff 34817.40); 13-week material weekly threshold exceeded: qty 53568 > upper 11265.22 (diff 42302.78)
Sales_071D28,320,Customer_7F499C,Sold_A4CD8E,Ship-to_A4CD8E,8/11/25,14:00:39,8/11/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,32060,7958.461538,12559.50868,336,31843,30800,35.33095238,FALSE,PAC,PAC,FALSE,FALSE,35134.4,190456,4116,1876.417864,99.30623854,0.168332843,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,18360762,18360762,FALSE,0,0,2.5,FALSE,Month rolling z-score: 99.31,-0.269845909,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 32060.000 (decreases anomaly score by 0.073); current_month_total_qty: 190456.000 (decreases anomaly score by 0.066); qty_z_score: 35.331 (decreases anomaly score by 0.060); qty_trend_slope_lastN: 35134.400 (decreases anomaly score by 0.055); qty_deviation_from_mean: 30800.000 (decreases anomaly score by 0.053); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.051); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.048); month_rolling_z: 99.306 (decreases anomaly score by 0.012); order_share_of_month: 0.168 (increases anomaly score by 0.003); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 32060 > upper 3684.15 (diff 28375.85); 13-week CM weekly threshold exceeded: qty 32060 > upper 3840.52 (diff 28219.48); 13-week material weekly threshold exceeded: qty 32060 > upper 7319.65 (diff 24740.35)
Sales_926C94,320,Customer_DA1244,Sold_A4CD8E,Ship-to_A4CD8E,8/14/25,14:45:02,8/14/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,31192,7958.461538,12559.50868,336,31843,29932,34.3352619,FALSE,PAC,PAC,FALSE,FALSE,35761.6,190456,4116,1876.417864,99.30623854,0.16377536,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,17863658.4,17863658.4,FALSE,0,0,2.5,FALSE,Month rolling z-score: 99.31,-0.269845909,1,TRUE,TRUE,global (new customer),Top contributors: Sales Order item qty: 31192.000 (decreases anomaly score by 0.071); current_month_total_qty: 190456.000 (decreases anomaly score by 0.068); qty_z_score: 34.335 (decreases anomaly score by 0.060); qty_trend_slope_lastN: 35761.600 (decreases anomaly score by 0.056); qty_deviation_from_mean: 29932.000 (decreases anomaly score by 0.053); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.052); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.049); month_rolling_z: 99.306 (decreases anomaly score by 0.013); order_share_of_month: 0.164 (increases anomaly score by 0.003); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 31192 > upper 5940.00 (diff 25252.00); 13-week CM weekly threshold exceeded: qty 31192 > upper 3840.52 (diff 27351.48); 13-week material weekly threshold exceeded: qty 31192 > upper 7319.65 (diff 23872.35)
Sales_61C130,20,Customer_4CA142,Sold_A4DD7B,Ship-to_A4DD7B,8/7/25,17:30:04,8/7/25,FALSE,Material_4A2497,Material_D93FF7,FALSE,18297,10081.46429,20037.86113,336,44025.8,17625,35.38113839,FALSE,PAC,PAC,FALSE,FALSE,13920.8,272817,2366,1283.350303,210.7382524,0.067066935,TRUE,1,FALSE,572.7,572.7,572.7,FALSE,0,10478691.9,10478691.9,FALSE,0,0,2.95,FALSE,Month rolling z-score: 210.74,-0.262997022,1,TRUE,TRUE,global (new customer),Top contributors: current_month_total_qty: 272817.000 (decreases anomaly score by 0.080); qty_z_score: 35.381 (decreases anomaly score by 0.064); is_order_qty_high_z: 1.000 (decreases anomaly score by 0.055); qty_trend_slope_lastN: 13920.800 (decreases anomaly score by 0.052); Sales Order item qty: 18297.000 (decreases anomaly score by 0.052); is_first_time_cust_material_order: 0.000 (increases anomaly score by 0.050); qty_deviation_from_mean: 17625.000 (decreases anomaly score by 0.047); month_rolling_z: 210.738 (decreases anomaly score by 0.012); is_unusual_fulfillment_time: 0.000 (increases anomaly score by 0.002); price_z_vs_customer: 0.000 (increases anomaly score by 0.000); order_share_of_month: 0.067 (decreases anomaly score by 0.000); is_rare_material: 0.000 (decreases anomaly score by 0.000); is_qty_outside_typical_range: 0.000 (decreases anomaly score by 0.000); is_suspected_duplicate_order: 0.000 (decreases anomaly score by 0.000); is_unusual_unit_price: 0.000 (decreases anomaly score by 0.000); is_value_mismatch_price_qty: 0.000 (decreases anomaly score by 0.000),TRUE,90-day CM threshold exceeded: qty 18297 > upper 691.82 (diff 17605.18); 13-week CM weekly threshold exceeded: qty 18297 > upper 800.80 (diff 17496.20); 13-week material weekly threshold exceeded: qty 18297 > upper 2956.80 (diff 15340.20)
