Vin,Matricula,Marca,Año,Modelo,NumeroDeCliente,ColorExterior,Kilometraje
2FMPK3K95LBA21592,PWZ305D,FORD,2020,EDGE-D2B,4021973,FORD ROJO CEREZA,"56,125"
LJXBS5A33PYF23456,RCL662D,FORD,2024,TERRITORY-TR1,1848480,FOR_ B BLANCO OXFORD,"24,988"
1FADP3F20DL120088,MVE521B,FORD,2013,FOCUS-Z2B,4007213,NEGRO OCASO,"134,904"
1FMDE5CP5NLA85105,PXW544D,FORD,2022,BRONCO-BR2B8GW,1864191,FOR_ R ROJO RACING,"48,920"
WF0RS5HP1MTP30730,LE92223,FORD,2021,TRANSIT-M2E,1000203,BLANCO OXFORD,"66,694"
LJXBS5A34RYF16406,RDG918D,FORD,2024,TERRITORY-TR1K,1865478,FOR_  GRIS HIERRO,"8,028"
1FADP3K21DL141005,NJT458,FORD,2013,FOCUS-Z1A,1865555,BLANCO OXFORD,"98,780"
3FMCR9C65NRE02235,PEK6440,FORD,2022,BRONCO-B1B,1866906,FOR_  AZUL ELECTRICO,"40,007"
