PRICE_TEMPLATE;PREIS;ABDATUM;BISDATUM;VONZONE_1;BISZONE_1;PREISBTR_1;TEXT30;PREISTYP;PREISART;SPARTE;MASS;RUNDART;RUNDUNG;TWAERS;MNGBASIS;AKLASSE;TIMBASIS;TIMTYP;Vlookup
;EG102STR3Y;01/11/2022;31/12/9999;;9999999999;;EG-102 Summer Tax Rider 3 year Amount;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG102STR5Y;01/11/2024;31/12/9999;;9999999999;;EG-102 Summer Tax Rider 5 year Amount;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG102WGCID;01/11/2024;31/12/9999;;9999999999;;EG-102 Winter Gas Cost Commodity Increment/Decreme;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG102WGDID;01/06/2024;31/12/9999;;9999999999;;EG-102 Winter Gas Cost Demand Increment/Decrement;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG102WNCNG;01/11/2024;31/12/9999;;9999999999;;EG-102 Winter Eastern NCNG Rider;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG102WTR3Y;01/11/2022;31/12/9999;;9999999999;;EG-102 Winter Tax Rider 3 year Amount;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG102WTR5Y;01/11/2024;31/12/9999;;9999999999;;EG-102 Winter Tax Rider 5 year Amount;1;0;02;thm;;;USD;1;NCGC;;;NO
;EG103_BRMD;01/11/2024;31/12/9999;;9999999999;;EG-103 Base Rate Margin Demand Charge;1;0;02;thm;;;USD;1;NCGT;;;NO
;EG103_DGCD;01/11/2024;31/12/9999;;9999999999;;EG-103 Demand - Gas Cost Demand Charge;1;0;02;thm;;;USD;1;NCGT;;;NO
;EG103_GCDC;01/06/2024;31/12/9999;;9999999999;;EG-103 Gas Cost Demand Charge Increment/Decrement;1;0;02;thm;;;USD;1;NCGT;;;NO
;EG103_GDDC;01/11/2024;31/12/9999;;9999999999;;EG-103 Gas distribution Demand Charge;1;0;02;thm;;;USD;1;NCGT;;;NO
;EG103_MC;01/01/2021;31/12/9999;;9999999999;;EG-103 Monthly charge;1;0;02;thm;;;USD;1;NCGT;;;NO
;EG103SGCID;01/11/2024;31/12/9999;0;15000;;EG-103 Summer Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGCID;01/11/2024;31/12/9999;15000;45000;;EG-103 Summer Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGCID;01/11/2024;31/12/9999;45000;135000;;EG-103 Summer Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGCID;01/11/2024;31/12/9999;135000;300000;;EG-103 Summer Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGCID;01/11/2024;31/12/9999;300000;600000;;EG-103 Summer Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGCID;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Summer Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGDID;01/06/2024;31/12/9999;0;15000;;EG-103 Summer Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGDID;01/06/2024;31/12/9999;15000;45000;;EG-103 Summer Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGDID;01/06/2024;31/12/9999;45000;135000;;EG-103 Summer Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGDID;01/06/2024;31/12/9999;135000;300000;;EG-103 Summer Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGDID;01/06/2024;31/12/9999;300000;600000;;EG-103 Summer Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SGDID;01/06/2024;31/12/9999;600000;9999999999;;EG-103 Summer Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SNCNG;01/11/2024;31/12/9999;0;15000;;EG-103 Summer Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SNCNG;01/11/2024;31/12/9999;15000;45000;;EG-103 Summer Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SNCNG;01/11/2024;31/12/9999;45000;135000;;EG-103 Summer Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SNCNG;01/11/2024;31/12/9999;135000;300000;;EG-103 Summer Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SNCNG;01/11/2024;31/12/9999;300000;600000;;EG-103 Summer Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103SNCNG;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Summer Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR3Y;01/11/2022;31/12/9999;0;15000;;EG-103 Summer Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR3Y;01/11/2022;31/12/9999;15000;45000;;EG-103 Summer Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR3Y;01/11/2022;31/12/9999;45000;135000;;EG-103 Summer Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR3Y;01/11/2022;31/12/9999;135000;300000;;EG-103 Summer Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR3Y;01/11/2022;31/12/9999;300000;600000;;EG-103 Summer Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR3Y;01/11/2022;31/12/9999;600000;9999999999;;EG-103 Summer Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR5Y;01/11/2024;31/12/9999;0;15000;;EG-103 Summer Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR5Y;01/11/2024;31/12/9999;15000;45000;;EG-103 Summer Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR5Y;01/11/2024;31/12/9999;45000;135000;;EG-103 Summer Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR5Y;01/11/2024;31/12/9999;135000;300000;;EG-103 Summer Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR5Y;01/11/2024;31/12/9999;300000;600000;;EG-103 Summer Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103STR5Y;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Summer Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGCID;01/11/2024;31/12/9999;0;15000;;EG-103 Winter Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGCID;01/11/2024;31/12/9999;15000;45000;;EG-103 Winter Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGCID;01/11/2024;31/12/9999;45000;135000;;EG-103 Winter Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGCID;01/11/2024;31/12/9999;135000;300000;;EG-103 Winter Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGCID;01/11/2024;31/12/9999;300000;600000;;EG-103 Winter Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGCID;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Winter Gas Cost Commodity Increment/Decreme;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGDID;01/06/2024;31/12/9999;0;15000;;EG-103 Winter Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGDID;01/06/2024;31/12/9999;15000;45000;;EG-103 Winter Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGDID;01/06/2024;31/12/9999;45000;135000;;EG-103 Winter Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGDID;01/06/2024;31/12/9999;135000;300000;;EG-103 Winter Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGDID;01/06/2024;31/12/9999;300000;600000;;EG-103 Winter Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WGDID;01/06/2024;31/12/9999;600000;9999999999;;EG-103 Winter Gas Cost Demand Increment/Decrement;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WNCNG;01/11/2024;31/12/9999;0;15000;;EG-103 Winter Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WNCNG;01/11/2024;31/12/9999;15000;45000;;EG-103 Winter Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WNCNG;01/11/2024;31/12/9999;45000;135000;;EG-103 Winter Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WNCNG;01/11/2024;31/12/9999;135000;300000;;EG-103 Winter Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WNCNG;01/11/2024;31/12/9999;300000;600000;;EG-103 Winter Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WNCNG;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Winter Eastern NCNG Rider;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR3Y;01/03/2023;31/12/9999;0;15000;;EG-103 Winter Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR3Y;01/03/2023;31/12/9999;15000;45000;;EG-103 Winter Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR3Y;01/03/2023;31/12/9999;45000;135000;;EG-103 Winter Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR3Y;01/03/2023;31/12/9999;135000;300000;;EG-103 Winter Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR3Y;01/03/2023;31/12/9999;300000;600000;;EG-103 Winter Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR3Y;01/03/2023;31/12/9999;600000;9999999999;;EG-103 Winter Tax Rider 3 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR5Y;01/11/2024;31/12/9999;0;15000;;EG-103 Winter Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR5Y;01/11/2024;31/12/9999;15000;45000;;EG-103 Winter Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR5Y;01/11/2024;31/12/9999;45000;135000;;EG-103 Winter Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR5Y;01/11/2024;31/12/9999;135000;300000;;EG-103 Winter Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR5Y;01/11/2024;31/12/9999;300000;600000;;EG-103 Winter Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103WTR5Y;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Winter Tax Rider 5 year Amount;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SBR;01/11/2024;31/12/9999;0;15000;;EG-103 Summer Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SBR;01/11/2024;31/12/9999;15000;45000;;EG-103 Summer Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SBR;01/11/2024;31/12/9999;45000;135000;;EG-103 Summer Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SBR;01/11/2024;31/12/9999;135000;300000;;EG-103 Summer Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SBR;01/11/2024;31/12/9999;300000;600000;;EG-103 Summer Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SBR;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Summer Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCC;01/11/2024;31/12/9999;0;15000;;EG-103 Summer Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCC;01/11/2024;31/12/9999;15000;45000;;EG-103 Summer Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCC;01/11/2024;31/12/9999;45000;135000;;EG-103 Summer Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCC;01/11/2024;31/12/9999;135000;300000;;EG-103 Summer Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCC;01/11/2024;31/12/9999;300000;600000;;EG-103 Summer Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCC;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Summer Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCD;01/11/2024;31/12/9999;0;15000;;EG-103 Summer Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCD;01/11/2024;31/12/9999;15000;45000;;EG-103 Summer Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCD;01/11/2024;31/12/9999;45000;135000;;EG-103 Summer Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCD;01/11/2024;31/12/9999;135000;300000;;EG-103 Summer Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCD;01/11/2024;31/12/9999;300000;600000;;EG-103 Summer Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGCD;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Summer Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGDC;01/12/2024;31/12/9999;0;15000;;EG-103 Summer Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGDC;01/12/2024;31/12/9999;15000;45000;;EG-103 Summer Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGDC;01/12/2024;31/12/9999;45000;135000;;EG-103 Summer Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGDC;01/12/2024;31/12/9999;135000;300000;;EG-103 Summer Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGDC;01/12/2024;31/12/9999;300000;600000;;EG-103 Summer Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SGDC;01/12/2024;31/12/9999;600000;9999999999;;EG-103 Summer Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SIMA;01/12/2024;31/12/9999;0;15000;;EG-103 Summer Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SIMA;01/12/2024;31/12/9999;15000;45000;;EG-103 Summer Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SIMA;01/12/2024;31/12/9999;45000;135000;;EG-103 Summer Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SIMA;01/12/2024;31/12/9999;135000;300000;;EG-103 Summer Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SIMA;01/12/2024;31/12/9999;300000;600000;;EG-103 Summer Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_SIMA;01/12/2024;31/12/9999;600000;9999999999;;EG-103 Summer Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WBR;01/11/2024;31/12/9999;0;15000;;EG-103 Winter Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WBR;01/11/2024;31/12/9999;15000;45000;;EG-103 Winter Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WBR;01/11/2024;31/12/9999;45000;135000;;EG-103 Winter Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WBR;01/11/2024;31/12/9999;135000;300000;;EG-103 Winter Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WBR;01/11/2024;31/12/9999;300000;600000;;EG-103 Winter Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WBR;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Winter Base rate;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCC;01/11/2024;31/12/9999;0;15000;;EG-103 Winter Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCC;01/11/2024;31/12/9999;15000;45000;;EG-103 Winter Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCC;01/11/2024;31/12/9999;45000;135000;;EG-103 Winter Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCC;01/11/2024;31/12/9999;135000;300000;;EG-103 Winter Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCC;01/11/2024;31/12/9999;300000;600000;;EG-103 Winter Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCC;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Winter Gas Cost Commodity;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCD;01/11/2024;31/12/9999;0;15000;;EG-103 Winter Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCD;01/11/2024;31/12/9999;15000;45000;;EG-103 Winter Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCD;01/11/2024;31/12/9999;45000;135000;;EG-103 Winter Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCD;01/11/2024;31/12/9999;135000;300000;;EG-103 Winter Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCD;01/11/2024;31/12/9999;300000;600000;;EG-103 Winter Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGCD;01/11/2024;31/12/9999;600000;9999999999;;EG-103 Winter Gas cost Demand;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGDC;01/12/2024;31/12/9999;0;15000;;EG-103 Winter Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGDC;01/12/2024;31/12/9999;15000;45000;;EG-103 Winter Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGDC;01/12/2024;31/12/9999;45000;135000;;EG-103 Winter Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGDC;01/12/2024;31/12/9999;135000;300000;;EG-103 Winter Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGDC;01/12/2024;31/12/9999;300000;600000;;EG-103 Winter Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WGDC;01/12/2024;31/12/9999;600000;9999999999;;EG-103 Winter Gas distribution price;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WIMA;01/12/2024;31/12/9999;0;15000;;EG-103 Winter Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WIMA;01/12/2024;31/12/9999;15000;45000;;EG-103 Winter Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WIMA;01/12/2024;31/12/9999;45000;135000;;EG-103 Winter Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WIMA;01/12/2024;31/12/9999;135000;300000;;EG-103 Winter Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
;EG103_WIMA;01/12/2024;31/12/9999;300000;600000;;EG-103 Winter Integrity Management Adjustment;1;1;02;thm;;;USD;1;NCGT;;;NO
